,url,size,new,idx
123810,http://archive.northjersey.com/news/christie-says-he-s-glad-to-be-in-clear-would-testify-in-gwb-case-if-called-1.1325858,123485,7.0,1485.0
14138,http://archive.northjersey.com/news/christie-says-he-was-misled-on-gwb-lane-closures-1.705813,139953,2.0,56.0
14202,http://archive.northjersey.com/news/christie-says-it-s-democrats-not-he-playing-politics-with-gwb-traffic-flap-1.643486,106005,2.0,120.0
14385,http://archive.northjersey.com/news/christie-slaps-conditional-veto-on-sandy-aid-measure-1.1014501,109338,2.0,303.0
13916,http://archive.northjersey.com/news/christie-staffer-resigns-amid-gwb-probe-1.692115,108991,1.0,422.0
124209,http://archive.northjersey.com/news/christie-staffers-get-hefty-pay-increases-as-other-areas-face-cuts-1.1025934,117618,7.0,1884.0
124267,http://archive.northjersey.com/news/christie-still-eyeing-2016-bid-gwb-scandal-will-be-footnote-on-his-record-1.1015715,116823,7.0,1942.0
13932,http://archive.northjersey.com/news/christie-takes-a-quiet-turn-limits-appearances-as-gwb-scandal-simmers-1.660916,116504,1.0,438.0
13659,http://archive.northjersey.com/news/christie-unscathed-by-report-in-house-probe-faults-kelly-wildstein-1.752597,142803,1.0,165.0
123538,http://archive.northjersey.com/news/closings-to-begin-in-bridgegate-trial-question-of-motive-divides-experts-1.1683639,124217,7.0,1213.0
123797,http://archive.northjersey.com/news/cost-of-christie-s-lawyers-in-gwb-scandal-now-at-7-8m-1.1330000,119507,7.0,1472.0
123646,http://archive.northjersey.com/news/court-keeps-lid-on-list-of-unindicted-gwb-figures-1.1655710,126459,7.0,1321.0
13698,http://archive.northjersey.com/news/crime-and-courts/gwb-inquiry-on-trial-as-key-players-challenge-subpoenas-video-1.734713,120622,1.0,204.0
123987,http://archive.northjersey.com/news/david-wildstein-pleads-guilty-in-gwb-case-bridget-kelly-bill-baroni-indicted-1.1323371,165292,7.0,1662.0
14233,http://archive.northjersey.com/news/dozens-of-port-authority-jobs-go-to-christie-loyalists-1.1060462,137071,2.0,151.0
13680,http://archive.northjersey.com/news/emails-show-christie-s-ex-campaign-manager-thanked-ex-port-official-for-testimony-that-was-eventually-discredited-1.744676,118552,1.0,186.0
14188,http://archive.northjersey.com/news/emails-show-port-authority-officials-were-warned-of-hardships-caused-by-gwb-lane-closures-1.681651,125463,2.0,106.0
14149,http://archive.northjersey.com/news/ems-responses-delayed-by-gwb-lane-closures-in-what-fort-lee-mayor-calls-absolute-power-corruption-1.667347,25823,2.0,67.0
5457,http://archive.northjersey.com/news/ems-responses-delayed-by-gwb-lane-closures-in-what-fort-lee-mayor-calls-absolute-power-corruption-1.667347,25964,0.0,5457.0
14148,http://archive.northjersey.com/news/ems-responses-delayed-by-gwb-lane-closures-in-what-fort-lee-mayor-calls-absolute-power-corruption-1.667347,117570,2.0,66.0
14371,http://archive.northjersey.com/news/ethics-complaint-port-authority-chairman-david-samson-had-conflicts-1.734936,104957,2.0,289.0
14232,http://archive.northjersey.com/news/ex-blogger-is-governor-christie-s-eyes-ears-inside-the-port-authority-1.1022057,121631,2.0,150.0
123841,http://archive.northjersey.com/news/ex-christie-allies-kelly-and-baroni-plead-not-guilty-in-gwb-scandal-case-video-1.1324912,128946,7.0,1516.0
14107,http://archive.northjersey.com/news/ex-christie-appointee-wildstein-accused-of-contempt-in-assembly-hearing-1.658922,117346,2.0,25.0
14319,http://archive.northjersey.com/news/ex-port-authority-chairman-s-law-firm-drops-bergen-county-as-client-citing-freeholders-demand-that-he-resign-1.840085,108912,2.0,237.0
123739,http://archive.northjersey.com/news/federal-prosecutors-want-gwb-lane-closures-documents-kept-secret-1.1338511,126671,7.0,1414.0
124022,http://archive.northjersey.com/news/feds-christie-allies-used-public-resources-for-political-vendetta-1.1323600,119047,7.0,1697.0
14284,http://archive.northjersey.com/news/feds-contact-south-carolina-airport-officials-in-probe-tied-to-ex-port-authority-chairman-david-samson-1.1269309,123274,2.0,202.0
14366,http://archive.northjersey.com/news/feds-withdraw-subpoena-of-port-authority-chairman-in-conflict-of-interest-investigation-1.732566,112577,2.0,284.0
124342,http://archive.northjersey.com/news/firm-hired-for-probe-is-gop-donor-10-000-disclosed-as-christie-backs-unlimited-contributions-1.996692,118824,7.0,2017.0
123530,http://archive.northjersey.com/news/five-things-we-still-don-t-know-about-bridgegate-1.1684882,130080,7.0,1205.0
123660,http://archive.northjersey.com/news/flurry-of-reactions-behind-gwb-scandal-emails-capture-port-authority-officials-trying-to-control-damage-1.1519212,130634,7.0,1335.0
14009,http://archive.northjersey.com/news/former-blagojevich-prosecutor-to-work-on-inquiry-into-gwb-controversy-1.742546,117813,1.0,515.0
14250,http://archive.northjersey.com/news/former-port-authority-chairman-david-samson-retiring-from-law-firm-1.1304158,127144,2.0,168.0
124118,http://archive.northjersey.com/news/fort-lee-legal-tab-tops-225-000-from-gwb-lane-closure-investigations-1.1306845,118232,7.0,1793.0
14026,http://archive.northjersey.com/news/fort-lee-mayor-acknowledges-discussion-about-christie-endorsement-1.647995,115388,1.0,532.0
14192,http://archive.northjersey.com/news/fort-lee-mayor-disputes-christie-s-claim-port-authority-not-called-over-gwb-traffic-1.672281,109767,2.0,110.0
5433,http://archive.northjersey.com/news/fort-lee-mayor-more-apologies-from-christie-may-be-needed-1.649948,95292,0.0,5433.0
13845,http://archive.northjersey.com/news/fort-lee-mayor-won-t-comply-with-christie-lawyer-s-request-for-information-1.660721,107066,1.0,351.0
5062,http://archive.northjersey.com/news/fort-lee-releases-thousands-of-pages-of-documents-on-gwb-to-christie-s-attorney-1.664654,97657,0.0,5062.0
124067,http://archive.northjersey.com/news/fort-lee-residents-recall-week-of-gridlock-caused-by-gwb-lane-closures-1.1323769,119037,7.0,1742.0
13889,http://archive.northjersey.com/news/giuliani-is-christie-s-strongest-defender-amid-the-gwb-scandal-1.659875,136573,1.0,395.0
123655,http://archive.northjersey.com/news/governor-dismisses-emails-in-gwb-case-1.1617473,125586,7.0,1330.0
123661,http://archive.northjersey.com/news/gwb-case-defendants-can-subpoena-christie-office-docs-says-judge-1.1506821,124859,7.0,1336.0
124295,http://archive.northjersey.com/news/gwb-inquiry-expands-scope-subpoenas-files-from-christie-political-strategist-1.1010815,118820,7.0,1970.0
124191,http://archive.northjersey.com/news/gwb-inquiry-panel-hears-from-top-christie-aide-o-dowd-1.1031830,110641,7.0,1866.0
4517,http://archive.northjersey.com/news/gwb-investigation-port-authority-executive-director-foye-testified-before-grand-jury-1.1018059,115996,0.0,4517.0
4929,http://archive.northjersey.com/news/gwb-investigation-undermined-if-stepien-ignores-subpoenas-lawyer-says-1.731202,99850,0.0,4929.0
4772,http://archive.northjersey.com/news/gwb-panel-wants-transcripts-of-interviews-from-christie-commissioned-report-1.838918,109857,0.0,4772.0
123952,http://archive.northjersey.com/news/gwb-plot-was-timed-to-disrupt-school-in-fort-lee-feds-say-1.1323779,137019,7.0,1627.0
123702,http://archive.northjersey.com/news/gwb-probe-compromise-settles-battle-over-sharing-evidence-in-case-1.1370403,118915,7.0,1377.0
13843,http://archive.northjersey.com/news/gwb-probe-ex-christie-campaign-manager-aide-won-t-turn-over-documents-to-legislative-panel-1.668102,105979,1.0,349.0
124301,http://archive.northjersey.com/news/gwb-probe-ex-christie-staffer-renna-tells-of-ties-between-politics-government-1.1009802,118199,7.0,1976.0
124262,http://archive.northjersey.com/news/gwb-probe-former-christie-campaign-manager-demands-correction-in-mastro-report-1.1015805,120122,7.0,1937.0
4305,http://archive.northjersey.com/news/gwb-probe-n-j-lawmakers-subpoena-at-t-for-christie-aide-s-phone-records-1.1076835,124870,0.0,4305.0
124339,http://archive.northjersey.com/news/gwb-probe-n-j-legislative-panel-issues-more-subpoenas-1.1000677,109100,7.0,2014.0
14056,http://archive.northjersey.com/news/gwb-probe-targets-christie-s-office-renewal-of-subpoena-power-expected-1.668179,136375,1.0,562.0
